user,anonymous,event_id,question_id,sent_at
656f1d964407d1872251cb1d,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:54
656f1d964407d1872253ae23,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:02
656f1d964407d18722559129,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:06
656f1d964407d1872257742f,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:03
656f1d964407d18722595735,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:00
656f1d964407d187225b3a3b,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:57
656f1d964407d187225d1d41,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:00
656f1d964407d187225f0047,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:08
656f1d964407d1872260e34d,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:03
656f1d964407d1872262c653,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:00
656f1d964407d1872264a959,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:54
656f1d964407d18722668c5f,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:00
656f1d964407d18722686f65,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:49
656f1d964407d187226a526b,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:57
656f1d964407d187226c3571,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:53
656f1d964407d187226e1877,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:53
656f1d964407d187226ffb7d,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:03
656f1d964407d1872271de83,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:59
656f1d964407d1872273c189,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:00
656f1d964407d1872275a48f,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:04
656f1d964407d18722778795,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:00
656f1d964407d18722796a9b,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:57
656f1d964407d187227b4da1,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:06
656f1d964407d187227d30a7,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:59
656f1d964407d187227f13ad,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:58
656f1d964407d1872280f6b3,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:55
656f1d964407d1872282d9b9,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:00
656f1d964407d1872284bcbf,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:02
656f1d964407d18722869fc5,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:02
656f1d964407d187228882cb,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:05
656f1d964407d187228a65d1,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:02
656f1d964407d187228c48d7,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:44:54
656f1d964407d187228e2bdd,False,6303a2efd17411f83093d2bc,6307944103fe421ca1d28bd3,2021-06-02 10:45:04
